date,rating,review
2020-12-20,5,amazing donut keep coming back looking forward amazing new food item bring n't understand one two star reviewer
2020-12-13,5,omgggg begin absolutely amazing flavorful magic masala chai tea ra malay gulab jamun donut yumm yumm yumm definitely worth try
2020-12-13,3,came afternoon limited option chose novel idea flavor thing little dry parkinf street parking easy find
2020-12-13,5,let tell simply chai hoboken epic simply chai hoboken rock every way dish prepared perfection burning man dosa absolutely amazing dish really liked service excellent everybody working really nice generous back asap
2020-12-08,5,possibly favorite tea place hit something incredibly unique spicy embrace tea pick whatever tea want enjoy heck practically order flight always buy bag masala chai make last delicious
2020-12-07,5,kinda speechless amazing place support local artist make best chai ever dessert kinda mind-blowing recommending place everyone
2020-12-05,5,came spot ago first opened recently never realized good well made chai could coming place level people know chia dunkin starbucks variety different type chai tea alternative milk option well recently ginger chai perfect blend almond milk black tea ginger needed cold rainy night definitely back try one also sandwich would love try return fan hidden ground new brunswick since rutgers day sure simply chai would live expectation
2020-12-01,5,one aesthetic cafe location hoboken big fan cafe new brunswick location beautiful various ornament decoration around shop add artistic principle visually appealing checked cafe please come soon possible favorite item menu are:1 rose chai chai milk rose petal rose syrup 2 gulab jamun donut gulab jamun indian sweet 3 rose pistachio cupcake moist cake topped light creamy frosty 4 signature falooda falooda indian dessert loaded milk basil seed vermicelli noodle ice cream handful pistachio must-try cafe unique fusion food n't forget take picture inside
2020-11-23,3,really really really wanted like place meet expectation maybe day masala chai wayyy ginger-forward lacked flavor profile masala chai used definitely visiting try drink though give fair chance
2020-11-22,5,delicious chai highly recommend rose masala chai got almond milk 4 little table outside friendly service back
2020-11-16,5,sometimes smart enough order item title restaurant place diet coke magic masala chai great know n't read review beverage got spicy grilled cheese sandwich intrigued excellent sandwich wound reading amul cheese bon appetit wikipedia running synonym spicy probably used incendiary earlier week maybe re-use one guy fieri voice point green chilli garlic chutney make instant classic
2020-11-10,5,one favorite place hoboken gotten delivery sure even amazing person samosa grilled cheese world actually sandwich great love attention detail tell really care business
2020-11-07,5,due covid-19 able review experience order pick wish able sit inside experience nice dine cafe feel ordered yelp super easy convenient located heart hoboken path offered outdoor seating busy street quick visit place cute offering product middle store probably organized location grubhub pick ups table left station set grubhub ordered packed neat two chais donut available time donut super fresh love good chai tea latte rose chai disappoint literally tasted like flower sweetness perfect without overwhelming taste syrup husband ordered lavender chai good wish place closer spend money chais daily glad able come rare hot november saturday parking bitch ever hoboken already knew definitely coming back try hot chai
2020-11-02,4,tried simply chai couple time disastrous first time safely say bombay sandwich delicious havent anything bbay sandwich masala omlette w avacado pretty good bbay sandwich fav
2020-10-24,2,food ok service went covid outdoor seating one table available n't chair table occupied ordered food asked barista could get chair daughter stroller said take one chair inside bring back done sure expected baby stroller clearly saw supposed leave alone lugging chair stood outside food came left soon possible coming back attitude
2020-10-22,4,amazing find place fully dedicated chai including chai donut open door siting true chai joke
2020-10-14,5,amazing highly recommend place wish made bigger size love rose chai latte super delicious donut amazing
2020-10-11,1,simply chai ok food prepared seemed like series short cut example add garam masala pickle masala cheese spicy grilled cheese sour dough add rose flavor syrup prepackaged chai becomes rose chai quick fix menu mildly creative healthy tasty first due packaged flavor masala syrup acidic sure wide range audience would like understand fusion would give c plus creativity return herethis poor effort creating fusion little morehard work prep originality use fresh ingredient surely make difference establishment desire long term tenure
2020-10-07,5,place good spot someone missing desi chai ordered chicken sandwich bombay sandwich chai filter coffee really good would love visit
2020-10-03,5,first time came gave two extra pastry along two ordered staff always pleasant super caution covid safety procedure tried donut cupcake donut world always craving signed collect star eventually get something back want try drink update time come think disappoint
2020-10-02,4,located step away hoboken terminal cafe serf several version chai including limited masala cardamom ginger rose saffron tried make masala chai thanks recent yelp zoominar n't compare richer deeper version enjoyed outdoor patio great people-watching also surprisingly large menu inexpensive small mid-sized bite whether samosa sandwich lassis snow cone baked good even jalapeno popper something everyone often indian twist service studious personal welcome independent alternative say big-chain cafe
2020-09-30,5,chai good ginger masala rose steamed oat milk pretty much die also got 3 donut none honestly world unless fan cake donut general
2020-09-26,3,came chance ordered bombay sandwich spicy egg sandwich chicken tikka sandwich ra malai donut gulab jaman donut rose cupcake mango cupcake samosa food subpar nothing spicy donut pound cake base masala chai served boiling hot rose latte hot wo n't returning
2020-09-24,5,wow place amazing amazing blend indian fusion wanted quill like bite saw yelp try everything always wanted assortment chai flavor amazing decided go rose chai latte omg amazing sugar content perfect sweet warm day outside coldness rose hit spot yelp saw sandwich one favorite sandwich growing bombay sandwich mom nannie would make yelp twist dosa waffle bread looking forward unfortunately n't anymore sourdough bread instead still amazing brought back childhood memory ca n't wait come back place definitely staple stop hoboken area oh also donut omg amazing flavor genius idea tried gulab jamun one perfection perfect moist donut actually tasted like gulab jamun without drench sugar syrup sweetness perfect also many flavor available hard pick one
2020-09-19,5,love chais traditional flavored one food creative good
2020-09-18,5,service amazing drink fantastic really loved gulab jamun donut look forward visiting
2020-09-15,5,love simply chai best iced hot latte fav rose chai latte also assortment dairy free milk great never tried food look good also felt safe going ordering covid seem taking proper precaution employee always wearing mask glove place staple
2020-09-14,2,subpar taste bummer live close would loved idea n't mediocre drink okay lack interest barista came date would n't recommend
2020-09-13,5,awesome menu indian quick-eat favorite creative sandwich tried spicy grilled cheese bombay avocado excellent faloodas dessert also great good service ambience definitely order
2020-09-13,5,food drink made fresh order samosa die simply delicious chai tea delectable staff super friendly courteous definitely go back
2020-09-11,5,went grab drink late one sunday afternoon crowd able walk right order got hot saffron chai latte to-go outdoor seating available decided stroll nearby waterfront instead saffron chai flavor worked really well together offer interesting tea combination seems like really creative brunch menu would definitely like try item next time area
2020-09-07,5,place actually amazing masala egg sandwich incredible actually spicy saffron chai delicious looking unique breakfast brunch option would definitely recommend giving place try
2020-08-30,1,owner please teach basic customer service person taking order walked place 2:30pm aug 30th person taking order said may order food tablet decided order food tablet middle ordering process tablet timed deleted cart placing order walked place order refused take order claiming busy went back tablet already someone placing order took almost 10 min complete order asked bump order refused gave u irresponsible reply u simply said sorry horrible attitude refuse take order place really slow short staff hire extra person saw 2 people walked without placing order place order please teach basic customer service employee tell apologize mean solution lost business
2020-08-29,5,masala chai bombay sandwich unbelievable prefer location v hidden ground think affiliated try parle g cooky chai oat milk favorite hope co ofer making falloff dairy free
2020-07-25,4,great stuff chai expensive size portion food however great deal hence balancing solid four star got avocado toast egg masala sauce omg good big soft piece toast pulled
2020-07-25,5,simply delicious must try gulab jamun donut cupcake faloodas ordered grubhub food properly packed fresh
2020-07-25,4,found place via instagram ever since made mission make trip jersey check love chai indian dessert form cupcake donut sign ended ordering rasmalai cupcake gulab jamun donut masala chai donut lemon poppy donut vegan gluten free also ordered chai flight chai iced latte dessert interesting rasmalai cupcake good light easy eat gulab jamun donut interesting friend said tasted like gulab jamun thought bit dry could n't really taste masala chai great moist great flavor profile lemon poppy sadly disappointment super dry hard lemon poppy flavor lastly drink chai latte oat milk great flavorful light ca n't go chai latte ended getting chai flight well consisted cardamom chai ginger chai masala chai love chai 3 taste smell disappointing service great also outdoor seating
2020-07-25,5,atleast 7 time far hand one favorite brunch spot chais always spot saffron ginger personal favorite waffle dosas amazing well love millennial avocado feta cheese perfect combination honey sriracha bombay dream burning man woman little garlicky signature falooda good well downside wait atleast 5 minute ice melt little steamed milk drinking cafe super cute umbrella decor well maintained open takeout delivery right would highly recommend trying place
2020-07-24,1,horrible service looong wait still got wrong order reported cashier started arguing said cant fix call managerdrinks good food item horribleworst service ever
2020-07-22,4,tried bindaas grilled avacodo unique concept good taste lacked protein filling price
2020-07-21,3,love flavor idea n't executed well cadbury chocolate chai latte decent subtle hint chocolate chai flavor personally expecting better mix rose falooda falooda usually syrup ice cream milk basil seed one personally much basil seed cream le rose syrup especially got rose flavored one rose cupcake yummy def rose flavor expected subtle pistachio flake top rasmalai cupcake okay kind taste like rasmalai also something else decor seating space super cute could n't enjoy time due covid-19 definitely cute coffee shop feel great location right hudson path stop return maybe give one try passing recommend sure actually area already want light snack coffee
2020-07-20,3,main reason 3 4 5 consistency food never issue drink depending behind counter dosa different 6 time always order thing millennial 2 time amazing four brunt under-done today avocado brown n't say anything waitress swamped seemed bit overwhelmed disappointing love food concept everything else cheapest meal also pet peeve place charge condiment get food labor least include green chutney seems like penny pinching wrong place could charge bit waffle
2020-07-17,5,covid19 status open outdoor seating would highly recommend ordering advance yelp place worth drive nj city gulab jamun donut best thing ever loved enjoyed every bite next best thing ra malai cupcake delicious overly sweet gajar halwa cake good also tried masala mac n cheese rgood might spicy n't like much spice imagine kurkure masala top mac n cheese tasted also got bombay dream dosa waffle sandwich loved well definitely going back try chai flight falooda
2020-07-14,5,love place chais drink dessert delicious friendly staff trendy decor
2020-07-13,1,terrible service portion worth price waste money waffle tasty rest gross
2020-07-12,4,ordered delivery theought ubereats rasmalai cupcake priced 4 packaging issue edible good flavour complaint wish cooled fridge something frosting place given hot weather rose falooda 6 winner adequately sweet little icecream felt place seems potential might try
2020-07-12,5,treat cutest store hoboken ca n't wait eat inside rose falooda freaking bite day gulab jamun donut delicious amma favorite perfect brunch item dosa shaped waffle amul cheese delightful ca n't wait try thing menu
2020-07-09,4,great drink food ambience great great service definitely recommend looking twist regular shmegular chai
2020-06-24,4,place list gorgeous chai hot latte treat luckily open covid visit outdoor seating avail day later opened upon entering space colorful beautiful pillow upside hanging umbrella love end living green wall antagonizing cute cafe seating space chill hang stared menu unsure order due difficult choice since hot day rather special hot chai ordered first ever pistachio falooda vermicelli noods interestingly basil seed kinda tasted like mini bobas ice cream gorgeous drink spoon straw help get every drop speckle food got bombay dream dosa waffle cheese onion cucu tomato fresh date mint chutney parle g biscuit creative colorful sprinkled appeared honey roasted nut texture fanciful wished waffle toasty perhaps packed time transport opened lost crisp end 2 dessert gulab jamun masala chai donut fragrant flavor bit dry side however exotic donut ca n't find elsewhere enjoyed visit would love dine outside try new thing
2020-06-17,5,perfect place almost get-together calligraphy workshop back around valentine day much fun ambiance beautiful recently went last week launched falooda delicious amazing concept love diversity happy call one favorite spot hoboken
2020-06-13,5,super cool vibe positive staff ooh also greaat coffee highly recommended
2020-06-09,5,cute little place ordered lavender chai latte disappoint fluffy light overly sweet-perfect summer time also decor amazing inside out-very colorful charming indian vibe would definitely return try menu
2020-05-22,5,needed afternoon pick make end work day simply chai right call online ordering process yelp super simple watch order step way ordered first iced chai latte summer great balance milk chai menu ton different option milk chais since first visit started go-to order pick process also simple safe door open walk right see table designated order pick wait order come chai ready soon walked server brought back outside le minute live block away know going go spot iced chai fix summer
2020-05-15,4,n't expecting much coming chai place seem become pretty saturated place actually really good definitely really unique unlike chai place best food item definitely dosa waffle bread mixture dosa waffle filling type veggie cheese spice really delicious chai however average nothing special overall ambiance awesome every detail place definitely well thought beautiful traditional umbrella decor hanging ceiling also modern twist light sign good mix traditional modern place definitely style
2020-03-10,4,tastefully decorate chai-focused cafe pretty close hoboken path station also serve coffee kind espresso drink went sunday morning brunch ordered chai flight include cardamom tea ginger tea masala tea server little cooky loved cardamom ginger tea masala tea ok also ordered savory dosa waffle waffle made rice flour batter eat really liked must visit place live around
2020-02-29,5,absolutely love place chia spectacular many different milk option dosas oh yummy ambiance great customer service make never want leave thank definitely regular
2020-02-19,5,went bunch people got try every chai list want saffron chai perfect sweet unique flavorful rose chai good like rose latte basically rose milk tea rose syrup cardamom tea also hit spot bombay dream loved love dosas making waffle bombay sandwich inside genius straight noms also tried bite millennial amazing avocado sriracha perfect together husband got spicy bagel egg cheese good flavor really onion inside ambiance nice brunch like vibrant indian umbrella decor photo green wall florals loved place definitely back
2020-02-12,4,nice spot try good selection chai apps taste ok guess great still good
2020-02-08,3,indian prob wo n't impressed chai chili dosa spicy avvacado dosa bland
2020-01-26,1,online picture way beyond tempting food major disappointment dosa combination terrible none flavor go along plus food seemed assembled warmed rather prepared per order
2020-01-20,3,good ambiance setup nice afternoon hangout lunch nice variety food dosa waffle must try chai n't great got three either chunky burnt flavorless milky host busy order observed tea boiled beyond temperature making hot lose taste better luck next time one employee seemed interested talk another colleague rather focussing tea getting boiled hence three
2020-01-15,3,good 3 month downgraded fancy serving added toast
2020-01-13,3,visited simply chai probably soon opened probably ordered wrong food experience n't best felt food slightly overrated however like casual approach theplace couple minute walk hoboken path station drink pretty good accompaniment tea create nostalgia day back indiaelaichi cardamom chai nice creamy indian tea indian tea always includes milk flavour cardamom flavour appealing everyone tea thick creamy accompanied little heart popular cookie india tea spicy cooky sweet making great combinationassam tea water based tea similar breakfast tea aroma flavour strong like slightly sour tea opt onedosa waffle dosa batter made rice flour consistency much like pancake mix rice flour mix poured waffle maker provide indian-western dish found bland chutney syrup like dosa waffle bombay dream bombay known chaat food chaat consists sev deep fried savory snack made gram flour tamarind chuney cilantro-mint chutney raw onion exactly rice waffle stuffed ingredient due many different flavour chutney one need condiment plate enough one person better dosa waffle
2020-01-12,4,came yelp suggestion wanted give try entering cafe liked ambience place decor nice good hangout spot grab chai friend weekend coming order tried bombay sandwich masala chai filter coffee masala chai good probably little bit milk preference bombay toast different good typical one would expect sell bombay sandwich usually would toasted 4 triangle easier eat bad trying filter coffee n't ordered chai shop tasted like instant indian coffee lot room improvement overall experience good might give another shot try item menu
2020-01-11,5,place literally cutest coffee shop ever came work whole place absolutely lovely place outlet table convenient need quick charge phone computer staff really kind definitely attentive need help finding outlet getting wifi ending getting saffron chai needed help picking milk would go best since n't want whole milk barista recommended going oat milk damn fire enjoyed time especially since aesthetically pleasing sit inside also enjoyed detail decor made stay feel homey ever area would sure come back place also realized owner owner hidden ground rutgers nb pretty cool know graduated year
2020-01-11,5,first thing first thank keeping green wall good morning sunshine sign basically complicated day came twice first time got to-go order saffron chai latte bombay toast person got said good already going back hoboken try couple hour later walked ordered two drink heh magic masala chai saffron chai latte course andddd amazing first time hot chai signature really earned title perfect spice sweetness slight creaminess milk equal magic menu simply chai lot variety twist popular breakfast item bagel toast egg extensive chai flavor reason stay day ca n't wait sit study aka write review see
2020-01-10,5,drink amazing place warm cozy server alex awesome pleasant definitely coming back recommending friend
2020-01-05,4,went lunch family ambiance beautiful nice chill spot good drink food got burning woman bombay dream dosa waffle bombay dream tasted like chaat sandwich burning woman good garlicky saffron chai really good rose also good favorite definitely want go back try chais also perk check yelp get free cappuccino
2020-01-04,4,wanting check place definitely lived expectation got chai flight included masala ginger cardamom chai skim milk also got bombay dream waffle chai served piping hot full flavor little sweeter would liked 3 ginger chai favorite waffle delicious right amount topping
2020-01-03,5,delicious worth stop huge fan chai cardamom chai great tried bombay burning woman wish chai usinss caffeine rooibos base could stop 4pm actually get chai management please consider adding caffeine free rooibos option
2019-12-29,5,great place get quick bite chai latte good cold one also place good want sit n talk unlike place hoboken loud music way crowded would like visit
2019-12-23,5,update ordered spicy egg cheese bagel filter coffee breakfast delicious bagel sandwich perfect amount spice
2019-12-14,2,anybody really know chai would drink using pre mix powder mixing milk ok even charging 4 plus taste horrible akin putting ketchup cheddar piece bread calling pizza contrary dosas really good focus remove word chai name get real
2019-12-13,2,nice space love decor like chai dosas taste good n't mind blowing tried toast tasted bad unfortunately quite pricey better job dosas biggest issue place include following 1 good spot breakfast came around 8:30am chef showed 9 encouraged u get toast good worst toast 2 slow service location place close public transportation people come morning quick bite drink however place keep around job need somewhere morning avoid place sense time respect came several time nothing changed chef show later well past opening time 3 n't appreciate self service especially given money pay price insanely high need bring food table good business model 4 super empty one go vibe sad ppl come free coffee wish best luck spouse back anymore gave place many chance enough
2019-12-13,3,recommendation saffron chai oat milk cardamom cold brewthe short small business delicious drink opt savory dosa waffle beware preserved artificial ideal study spot pricey breakfast spotthe long excited see owner hidden ground branch restaurant cuisine many business rotated space hudson retaining decor namely greenery back make trendy instagram yelp photo simply chai added additional touch hanging colorful umbrella ceiling adorning family photo wall featuring bookshelf item purchase point metal straw brush love eye sustainability would highly recommend chai thandais favorite saffron chai oat milk crushed pistachio bring floral saffron deliciously creamy always pleased see non-dairy alternative love coffee partner recommends cardamom cold brew cardamom intensifies flavor coffee without making overpowering smooth finish recently went sit-down breakfast service quick kind mindful self service establishment ordered burning man sweet tooth dosas burning man dosa fittingly named onion green chili great kick paired well savory dosa batter however left something desired though packed lot heat lacked variety flavor make satisfyingly complex dish sweet tooth disappointed course fault realizing mango rasna fact enriched fruit powder n't find paired well savory dosa batter perhaps additional fresh fruit would made better combination sure processed amul cheese rasna elicit memory childhood price would prefer fresh ingredient instance would love see mango chutney fresh chopped mango citrus fruit attempted study breakfast even noise cancelling headphone found music loud personal preference future visit look forward trying highly reviewed bombay dream adrak chai
2019-12-12,4,friend highly recommended place eventually took came way hoboken brooklyn even n't drink chai dosa waffle tried burning man chaat one forgot name amazing burning man true name hot loved favorite part use amul cheese take back india chaat pretty tasty well balanced flavor also tried rose chai milkshake good concept dosa waffle still interesting must try everyone keep coming back live jersey city sure
2019-12-10,4,came lunch day mentee loved ambiance absolutely beautiful love decor restaurant feel homey great place get work done well sit work hour pretty convenient lot outlet along one side wall ordered bombay dream dosa waffle rose chai wow dosa waffle incredible bombay dream delicious also way spicier could handle sniffling whole time chugging rose chai make pain go away fainthearted sure however withstand spice flavor well worth loved coming back try one sweet dosas soon
2019-12-10,3,order millennial dosa n't bad nothing amazing either overpriced almost 13 since hoboken suppose price reasonable desi n't expect love place mostly goray want come aesthetic
2019-12-09,5,bombay dream burning lady woman waffle adrak chai filtered coffee food quite extraordinary look n't look indian like food however eat feel like back street india sudden explosion flavor ambience customer service really nice
2019-12-01,4,visited simply chai past summer shortly grand opening upon entering notice ample seating beautifully decorated restaurant inside tell put lot effort making space aesthetically pleasing keeping nice cozy vibe ordered hot masala chai burning man friend ordered cold brew limca dosa food good quite filling cup masala chai absorbed heat drink made nearly impossible hold look pretty n't think particular cup practical limca refreshing never drink like glad gave try parking pain typical hoboken however area return
2019-11-26,5,wanted try spot solely see would great chai simply disappoint fresh ginger piece chai show place us fresh ingredient loved proud support new neighborhood gem
2019-11-26,5,got hooked chai college eye opening mouth watering experience discover chai latte however many chais chai latte since able match initial enthusiasm craft recently discovered simply chai hoboken upon first sip immediately became nostalgic transported first experience chai whenever want remember old time look ahead brighter day get fix simply chai
2019-11-22,4,update immediately posting original 2-star review speaking second time barista noise concern received prompt gracious response owner simply chai staff premise asked sleeping woman turn radio super serene plan coming back area thank much sincerely apologize implied assumption woman question review discriminatory part thank really appreciate attention concern original review staff allowing woman sleep table cafe radio blasting find incredibly disruptive asked could turn radio staff replied sleeping n't want disturb would rather disturb paying customer chai amazing food delicious concept great decor lovely staff lovely ca n't see making place regular spot people allowed blast radio make everyone else establishment listen understand percentage business profit go housing homeless community support n't support anyone music radio disturbing everyone else air space establishment almost everyone paying sorry guess capitalist businesswoman end day
2019-11-18,4,pretty novel idea dosa waffle chai waffle themself pretty crisp fluffy well made thought topping good maybe would preferred waffle chai truly chai average rendition see taking hence 4 star decor eclectic space pretty open would return try waffle probably make home waffle iron
2019-11-15,2,morning cashier clipping fingernail register understand annoying break nail want fix excuse restroom grossed giving two star chai fine dosa nearly burnt inedible prefer dosa include human fingernail topping p
2019-11-10,3,simply disappointing experience chai chai place 11:30a sunday heavy brunch traffic time alternatively opted hot version saffron milk matcha asked chai biscuit go asked pay extra  doublefailthe food great prepared described menu however topping missing 6 waffle order waffle cold sure sitting back get 6 ready served maybe worth revisiting bussing process get order ready think concept great spending close 100 6 waffle 3 hot beverage bag chai biscuit yes buy bag since refused one came beverage minimum expect thing described
2019-11-06,5,walked loved decor loved friendly staff loved could wander gaze ordered hesitation 2 different item started conversation staff person taste temperature item walked hot ginger chai life made wait bus hummingly heavenly kind thing burn lip ca n't let keep another sip return often
2019-11-06,5,delighted walk new sensation cute elegant indian chai shop latest trend tri state area indian origin restaurant going beyond typical fare menu small satisfying ginger chai legit taste well presentation breakfast bombay dream dosa waffle former bombayite approve basically inside typical bombay street sandwich served two non-sweet waffle made rice lentil batter delicious highly recommend back often couple block hoboken terminal score accessibility
2019-11-04,5,even though miss sunnyside cafe place used avocado toast acai bowl glad able replace adorable south indian cafe refreshing see ethnic cafe amidst basic espresso bar coffee shop hoboken simply chai serf amazing chai got magic masala chai flavor great served adorable clay pot wished dosa definitely come back
2019-11-01,4,love simply chai decor beautiful make want sit relax twice go order bombay dream dosa waffle masala chaithe reason took 1 star cutlery clean last time went
2019-10-24,1,come 3 time already past month time experience great chai horrible dosa waffle always come back either soft past time burnt asked cheese horrified watching cook wipe bare hand come back
2019-10-20,3,cute atmoshpere decoration inside chai tea good went friend got rose chai got saffron chai delicious thought dosa waffle interesting concept got mom waffle dosa waffle butter scallion savory came coconut chutney thought going taste lile coconut course green mush spicy expected 9 dollar way overpriced waffle waffle crispy thin fluffy good edible terrible really disappointed chutney asked wait staff n't even offer honey another side instead also got chai ran pistachio saw run like umm sorry heard guy behind counter say would grind told would wait instead giving chai without topping would expected tell would another minute wait staff definitely need hospitality training
2019-10-20,4,loved vibe place cute aesthetic plenty table sit got saffron chai recommend think drink pricier side would go would definitely recommend
